name,city,income,credit_score,loan_amount,year_employed,points,loan_approved
Allison Hill,East Jill,113810,389,39698,27,50,FALSE
Brandon Hall,New Jamesside,44592,729,15446,28,55,FALSE
Rhonda Smith,Lake Roberto,33278,584,11189,13,45,FALSE
Gabrielle Davis,West Melanieview,127196,344,48823,29,50,FALSE
Valerie Gray,Mariastad,66048,496,47174,4,25,FALSE
Darren Roberts,Port Jesseville,62098,689,19217,29,65,TRUE
Holly Wood,Lake Joseph,59256,373,40920,40,35,FALSE
Nicholas Martin,Nelsonside,48289,524,45866,20,25,FALSE
Patty Perez,Port Leslieview,126530,367,14826,36,55,FALSE
Emily Rios,Wilkersonmouth,43434,446,18359,8,20,FALSE
Justin Baker,Hurstfurt,118696,670,15373,8,75,TRUE
Ann Williams,East Courtneychester,127080,365,26216,24,55,FALSE
Julie King,Lake Jenniferside,146939,573,43006,21,50,FALSE
Jeffrey Chavez,Teresaburgh,101482,819,7973,40,100,TRUE
Mark Lynch,West Kathryn,41395,843,1037,38,80,TRUE
Alec Hickman,Johnbury,107397,380,6613,31,60,TRUE
Vanessa Patel,East Donna,85302,469,18370,33,50,FALSE
Jenny Lewis,Lake Larry,34165,682,29711,33,50,FALSE
David Brown,New Angelashire,33905,525,1471,4,30,FALSE
Amy Jones,Port Markhaven,42280,543,19250,31,25,FALSE
Carlos Walls,Sanchezfort,58657,716,13478,6,65,TRUE
Jeffrey Henderson,Shieldston,60495,400,4972,25,50,FALSE
Rebecca Rodriguez,East Amanda,96237,443,28648,11,45,FALSE
David Leblanc,Mortonside,108907,400,4315,34,60,TRUE
Tracy House,East Richard,33478,792,15008,25,60,TRUE
Carmen Smith,Bakermouth,103563,592,28722,35,65,TRUE
Katelyn Lee,North Beth,56062,362,21552,3,30,FALSE
John Calhoun,North Susan,123850,382,13178,4,45,FALSE
Megan Young,New Johnton,115181,383,28474,37,55,FALSE
Emily Green,Johnfurt,121924,434,45019,19,50,FALSE
Timothy Walls,South Christineshire,101426,402,5801,34,60,TRUE
Derek Mahoney,East Mikeburgh,84987,748,36600,19,75,TRUE
Victoria Valdez,Lake Lisaport,58893,406,9800,16,45,FALSE
Brian Tran,Juanborough,88878,651,14342,40,65,TRUE
Kathy King,North Cynthiaview,107236,345,1232,21,60,TRUE
Mandy Green,Arnoldchester,66463,309,8331,4,35,FALSE
Melissa Hernandez,Port Mikeside,136093,451,29166,8,50,FALSE
Jacob Fitzpatrick,West Jasonbury,143940,405,24178,35,55,FALSE
Jennifer Oliver,East Michelle,30851,481,28020,1,10,FALSE
Tim Patton,Phambury,129458,573,11433,6,55,FALSE
Andrew Ruiz,Port Samantha,135620,658,21000,14,70,TRUE
Matthew Ross,Michelleview,50926,659,43040,32,50,FALSE
William Herrera,North Natalieview,121506,482,39049,16,50,FALSE
